"Title
All rights reserved. The book tags, ratings, classifications, and content-flagging methodology developed by RatedBooks.org constitute proprietary intellectual property. No person or organization may copy, scrape, extract, reproduce, adapt, aggregate, commercialize, or use this data for resale, subscription products, district-level services, or derivative works without the prior written permission of RatedBooks.org. Unauthorized commercial use is strictly prohibited and may result in legal action.",Author,Rating
Point of Retreat,Colleen Hoover,3
Out of Darkness,Ashley Hope Perez,3
Never Never,Colleen Hoover and Tarryn Fisher,3
Native Son,Richard Wright,3
My Salinger Year , Joanna Rakoff,3
My Body is Growing: A Guide for 4-to 8-Year-Olds,Dagmar Geisler,3
Moxie,Jennifer Mathieu,3
Monday's Not Coming,Tiffany D. Jackson,3
Me and Earl and the Dying Girl,Jesse Andrews,3
Lolita,Vladimir Nabokov,3
Lessons in Chemistry,Bonnie Garmus,3
Lawn Boy,Jonathan Evison,3
"L8r, G8r",Lauren Myracle,3
Kingdom of the Wicked,Kerri Maniscalco,3
Inkdeath,Cornelia Funke,3
Impulse,Ellen Hopkins,3
I Am Not Your Perfect Mexican Daughter,Erika L. Sanchez,3
I Am Margaret Moore,Hannah Capin,3
Hunger: A Memoir of (My) Body,Roxane Gay,3
Hooked,Catherine Greenman,3
Heroine,Mindy McGinnis,3
Heart Check: A Varsity Novel,Emily Charlotte,3
Grown,Tiffany D. Jackson,3
Grit,Gillian French,3
Go Ask Alice,Anonymous,3
Glass,Ellen Hopkins,3
Girl in Translation,Jean Kwok,3
Foul is Fair,Hannah Capin,3
Forever Interrupted,Taylor Jenkins Reid,3
Fire Force 01,Atsushi Ohkubo,3
Finding Cinderella,Colleen Hoover,3
Fight Club,Chuck Palahniuk,3
Fallout,Ellen Hopkins,3
Fade,Lisa McMann,3
Extremely Loud and Incredibly Close,Jonathan Safran Foer,3
Excuse Me While I Ugly Cry,Joya Goffney,3
Emergency Contact,Mary H.K. Choi,3
Eleanor and Park,Rainbow Rowell,3
Dime,E.R. Frank,3
